"Temps"	"Teau"	"Tis"	"Tamb"	"Tcr"
"1000"	1000	28.199522	26.9313087	25.7851944	28.7922478
"2000"	2000	28.7787437	28.2402935	26.6642342	31.758255
"3000"	3000	29.3482475	27.4362335	26.2198429	30.5788059
"4000"	4000	29.5310211	27.5769691	25.814352	30.5460033
"5000"	5000	30.2753792	28.6685715	25.8979912	31.0302982
"6000"	6000	30.4688301	28.8329296	26.94203	29.4165039
"7000"	7000	30.6166458	28.8699608	26.4600601	31.1480446
"8000"	8000	30.7957058	28.8896828	27.2207184	31.8542843
"9000"	9000	30.9961624	28.9658184	26.8787537	31.9217358
"10000"	10000	31.2806053	28.9451294	27.1970673	32.3665085
"11000"	11000	31.1170959	28.8959694	27.009573	31.8581696
"12000"	12000	31.2194805	28.9392204	27.3493214	32.181488
"13000"	13000	31.3459244	29.116396	26.5506344	32.7193108
"14000"	14000	31.4588871	29.0129948	26.9447842	32.0469284
"15000"	15000	32.1086426	29.7810783	28.6568184	32.2284355
"16000"	16000	33.4525185	30.4339485	29.0279694	32.8535881
"17000"	17000	34.0982933	30.7034321	28.9839668	34.1016121
"18000"	18000	34.4722099	30.9938602	29.0536461	35.4507637
"19000"	19000	34.6816063	31.4976654	28.7549591	35.0682259
"20000"	20000	37.2372589	34.191143	29.0259514	41.5129738
"21000"	21000	40.8907471	35.632637	29.1085606	43.5020256
"22000"	22000	41.7906036	35.2879372	29.4821758	42.2366447
"23000"	23000	42.4497833	36.3292465	29.2914448	43.9331169
"24000"	24000	42.3795815	36.8584175	28.4987755	43.6690254
"25000"	25000	43.5405922	39.2091408	28.6921349	43.7584305
"26000"	26000	44.4742661	39.7796822	29.6168041	46.9374847
"27000"	27000	47.4561996	40.5876846	30.1085339	47.8197937
"28000"	28000	47.2321777	39.9060898	30.4381485	47.3799973
