"Temps"	"Teau"	"Tis"	"Tamb"	"Tcr"
"100"	100	22.1855927	23.496666	23.6688442	22.4438839
"200"	200	27.9594631	26.9241924	25.5834961	28.3134098
"300"	300	27.9323559	26.9184704	25.7513924	28.2688274
"400"	400	27.8903351	26.8611832	25.9542522	28.2474174
"500"	500	27.9298191	26.8568821	25.659153	28.2880268
"600"	600	27.9686222	26.9151897	25.6952858	28.4319248
"700"	700	28.0672226	26.9332905	25.9730339	28.5897579
"800"	800	28.1724205	26.9390869	26.2873306	28.8189163
"900"	900	28.2300911	26.9586601	25.6188507	28.8857498
"1000"	1000	28.199522	26.9313087	25.7851944	28.7922478
"1100"	1100	28.2184505	26.965744	26.052763	28.8127785
"1200"	1200	28.1925831	26.9642754	25.7471638	28.7479439
"1300"	1300	28.2395077	26.9717102	26.2245483	28.8718338
"1400"	1400	28.2998428	27.0083218	25.9446468	29.0096359
"1500"	1500	28.3855724	27.0651741	25.6093273	29.1117725
"1600"	1600	28.4638023	27.0811901	25.9098396	29.1754665
"1700"	1700	28.5101414	27.0663414	25.4737625	29.1563988
"1800"	1800	28.502491	27.0823803	26.0183983	29.2537212
"1900"	1900	28.6951122	27.1893673	26.0878258	29.4691906
"2000"	2000	28.7787437	28.2402935	26.6642342	31.758255
"2100"	2100	28.7991219	27.208374	25.6332436	29.4751205
"2200"	2200	28.8163834	27.152504	26.3397141	29.4904099
"2300"	2300	28.8319645	27.2330341	25.7686462	29.5201035
"2400"	2400	28.8687496	27.1984138	25.4576015	29.6986332
"2500"	2500	28.9271183	27.2098351	25.950758	29.8244457
"2600"	2600	28.9581013	27.1697636	26.1665115	29.792429
"2700"	2700	29.1086674	27.3536663	26.4569263	30.1361485
"2800"	2800	29.2934685	27.4390278	25.9647198	30.4698009
"2900"	2900	29.335743	27.4069157	26.4674911	30.4627647
"3000"	3000	29.3482475	27.4362335	26.2198429	30.5788059
"3100"	3100	29.3604851	27.4701557	25.8939438	30.6556416
"3200"	3200	29.3771343	27.4856205	25.5359478	30.5775967
"3300"	3300	29.3905354	27.4858131	25.8173199	30.6155281
"3400"	3400	29.3995399	27.5247211	25.8835545	30.2350159
"3500"	3500	29.4079151	27.4858398	26.0138702	30.2014446
"3600"	3600	29.4163609	27.4458332	25.7676697	30.2564392
"3700"	3700	29.4278221	27.4997864	25.9800587	30.3300056
"3800"	3800	29.4468269	27.4789505	26.628931	30.4612389
"3900"	3900	29.4811687	27.5862885	25.7872772	30.4408398
"4000"	4000	29.5310211	27.5769691	25.814352	30.5460033
"4100"	4100	29.5740795	28.4542007	25.7430649	29.9751759
"4200"	4200	29.6184883	28.5370502	26.3772602	30.0627441
"4300"	4300	29.7143173	28.6199093	26.4735146	30.1666813
"4400"	4400	29.7829685	28.5619545	26.5783443	30.2643623
"4500"	4500	29.8469677	28.5917339	26.3849869	30.3687229
"4600"	4600	29.9026508	28.6378784	26.6063747	30.3835278
"4700"	4700	29.9639912	28.5987511	26.1649532	30.5010033
"4800"	4800	30.0158329	28.5832996	26.3744869	30.5933075
"4900"	4900	30.0903873	28.6562366	26.4298878	30.7860298
"5000"	5000	30.2753792	28.6685715	25.8979912	31.0302982
"5100"	5100	30.3082581	28.9140987	27.0926437	30.573164
"5200"	5200	30.3428288	28.9168224	26.9580784	30.3791542
"5300"	5300	30.3654861	28.849762	26.9134979	30.6659889
"5400"	5400	30.3811588	28.7220516	26.5154552	31.2161999
"5500"	5500	30.3956223	28.9265289	26.7844315	30.1767998
"5600"	5600	30.4148579	28.776844	26.4532909	31.0015697
"5700"	5700	30.4317417	28.8738098	26.8123798	31.0749836
"5800"	5800	30.4461651	28.7874889	26.776907	29.3055573
"5900"	5900	30.458601	28.767149	26.1673565	31.0010357
"6000"	6000	30.4688301	28.8329296	26.94203	29.4165039
"6100"	6100	30.4816742	29.1296711	26.7631588	30.8111973
"6200"	6200	30.4962044	29.3670921	26.685461	30.8178902
"6300"	6300	30.5121918	29.1863232	26.6786041	30.8229103
"6400"	6400	30.5291653	29.1924706	27.0146618	30.8148899
"6500"	6500	30.5432549	29.2865047	26.5492764	30.8341274
"6600"	6600	30.553339	29.3327332	27.0409431	30.871912
"6700"	6700	30.5633888	28.8310528	26.7046604	31.5565071
"6800"	6800	30.5765514	28.7987576	26.5264301	31.1191444
"6900"	6900	30.5939827	29.3442974	26.5203819	30.8877449
"7000"	7000	30.6166458	28.8699608	26.4600601	31.1480446
"7100"	7100	30.6380806	28.0630856	26.9108047	28.6799984
"7200"	7200	30.6537571	28.8994808	26.8661709	31.1511364
"7300"	7300	30.6751633	28.9160557	27.0996208	31.4471836
"7400"	7400	30.6935902	29.2347317	26.9451828	31.087492
"7500"	7500	30.7137756	28.0063553	26.9427128	28.5326977
"7600"	7600	30.7312527	29.1732635	26.7523422	31.1557827
"7700"	7700	30.7465534	29.5386047	26.8461494	30.9473743
"7800"	7800	30.7635612	28.8978176	26.6185532	31.8071423
"7900"	7900	30.776886	28.8774891	27.1480465	31.8161278
"8000"	8000	30.7957058	28.8896828	27.2207184	31.8542843
"8100"	8100	30.8171577	28.9320259	27.0232315	31.851984
"8200"	8200	30.8381195	29.349329	26.3893585	31.1003971
"8300"	8300	30.8578091	28.9344616	27.6884403	31.8386784
"8400"	8400	30.874815	28.9557476	26.9678364	31.8378696
