"Temps"	"Teau"	"Tis"	"Tamb"	"Tcr"
"8500"	8500	30.8945084	28.883358	27.4817562	31.8704548
"8600"	8600	30.9180813	28.899044	27.3814564	31.8891468
"8700"	8700	30.9346142	29.0315475	26.992197	31.9900818
"8800"	8800	30.956459	28.932003	27.2652073	31.8926144
"8900"	8900	30.9788589	28.1077385	26.9594498	28.5008945
"9000"	9000	30.9961624	28.9658184	26.8787537	31.9217358
"9100"	9100	31.0095692	28.9123135	26.8038101	31.7238617
"9200"	9200	31.0228729	28.8739376	27.1909542	31.7621975
"9300"	9300	31.0351868	28.9367409	26.8079262	31.920702
"9400"	9400	31.0755348	28.9873505	26.9494705	32.0851173
"9500"	9500	31.1087875	29.6708527	26.5194874	31.4478817
"9600"	9600	31.1482944	29.4602528	26.8627968	31.4691162
"9700"	9700	31.1726551	29.508234	27.1246948	31.4928646
"9800"	9800	31.1896038	29.5276108	27.1363354	31.4988556
"9900"	9900	31.2201061	28.9932728	27.4206734	32.3757629
"10000"	10000	31.2806053	28.9451294	27.1970673	32.3665085
"10100"	10100	31.3264008	29.0590973	27.2283115	32.4499397
"10200"	10200	31.3524799	28.973772	27.5979176	32.4377518
"10300"	10300	31.3813171	29.0447445	27.5988617	32.6177979
"10400"	10400	31.4161186	29.0253925	27.7352657	32.6035576
"10500"	10500	31.040884	28.891201	26.721077	31.6892185
"10600"	10600	31.051487	28.9112835	26.9562359	31.924963
"10700"	10700	31.0591908	28.9129734	27.202755	31.7464638
"10800"	10800	31.0694618	28.8875179	26.9725056	31.918951
"10900"	10900	31.0900879	28.9060116	27.0969868	32.0535774
"11000"	11000	31.1170959	28.8959694	27.009573	31.8581696
"11100"	11100	31.1400642	28.904274	27.4982166	32.2395744
"11200"	11200	31.1529694	29.070694	26.8517742	32.0872536
"11300"	11300	31.1634598	29.109211	26.7425022	32.06353
"11400"	11400	31.1738358	28.9471893	26.9877243	32.1108246
"11500"	11500	31.1813908	28.9522457	27.3152161	32.3118019
"11600"	11600	31.1911526	28.9628773	27.2714043	32.3490982
"11700"	11700	31.2000656	29.18573	26.5182781	31.9530544
"11800"	11800	31.2073288	28.9136448	27.9307499	32.4638481
"11900"	11900	31.2132549	28.8700867	27.8458652	32.4556313
"12000"	12000	31.2194805	28.9392204	27.3493214	32.181488
"12100"	12100	31.2260056	28.9454422	27.4056072	32.5486069
"12200"	12200	31.2311497	28.8914375	27.0490112	32.2662086
"12300"	12300	31.2373886	28.9458961	27.7898884	32.4615135
"12400"	12400	31.2467613	29.081789	26.4386253	31.9634743
"12500"	12500	31.2671375	28.8787022	26.7721405	32.3939438
"12600"	12600	31.2906265	29.0475025	26.9352837	31.9357662
"12700"	12700	31.3111553	29.0446091	27.5488663	31.8990116
"12800"	12800	31.3263321	28.8568096	27.2845325	32.5787735
"12900"	12900	31.3366909	28.8932953	26.9648132	32.2434654
"13000"	13000	31.3459244	29.116396	26.5506344	32.7193108
"13100"	13100	31.3527107	28.9369049	27.5444183	31.9534607
"13200"	13200	31.3598919	28.9006729	27.1245861	32.6938019
"13300"	13300	31.3660126	28.9326897	27.4606113	32.2960854
"13400"	13400	31.3738651	28.9953995	26.6638718	32.3384056
"13500"	13500	31.3825054	28.9909306	26.656538	32.3419151
"13600"	13600	31.3932037	28.8735676	26.7351856	32.8782425
"13700"	13700	31.4062481	28.9102783	26.9951401	32.8736763
"13800"	13800	31.4234924	29.0928173	26.896595	32.1192131
"13900"	13900	31.4423466	28.9864807	27.5610981	32.3367271
"14000"	14000	31.4588871	29.0129948	26.9447842	32.0469284
"14100"	14100	31.4771175	29.0325546	27.0599651	32.0946045
"14200"	14200	31.4983635	29.0695477	26.9019718	32.3079262
"14300"	14300	31.5144253	28.950573	27.2693863	32.3396111
"14400"	14400	31.5256557	28.9907169	27.4846172	32.1912613
"14500"	14500	31.5355282	29.1666489	26.8546734	32.3597221
"14600"	14600	31.5473213	29.078392	26.5220108	32.3274727
"14700"	14700	31.5666046	29.1549416	27.165102	32.441349
"14800"	14800	31.9185829	29.7909927	29.893055	32.1314163
"14900"	14900	32.0253983	29.6628685	28.6656971	32.1984367
"15000"	15000	32.1086426	29.7810783	28.6568184	32.2284355
"15100"	15100	32.2183304	30.1113949	28.6038361	32.2406235
"15200"	15200	32.4977646	29.8768253	28.5301971	32.2828407
"15300"	15300	32.8463745	30.1401348	28.5593472	32.6657372
"15400"	15400	32.9477692	30.9841652	29.8510303	33.09095
"15500"	15500	33.0554619	30.0238647	28.672554	32.6577911
"15600"	15600	33.1421967	30.585186	29.6570625	33.132412
"15700"	15700	33.2201004	30.2552528	29.0758801	32.8370361
"15800"	15800	33.3128052	30.5121078	28.5528412	33.5265846
"15900"	15900	33.3886719	30.5587673	28.3183079	33.7807808
"16000"	16000	33.4525185	30.4339485	29.0279694	32.8535881
"16100"	16100	33.5188103	30.5090485	28.5892963	33.9523048
"16200"	16200	33.59478	30.3699722	28.1062584	33.8934441
"16300"	16300	33.6671333	30.4935036	29.2458344	33.1655426
"16400"	16400	33.7394066	30.7764912	29.3540897	33.3056259
"16500"	16500	33.7918282	31.1927547	28.474453	34.4125404
"16600"	16600	33.8487701	30.4389057	28.8047314	34.0104027
"16700"	16700	33.9230042	30.612833	29.4176521	34.0538559
"16800"	16800	34.0008965	30.7217026	29.3206558	33.46418
"16900"	16900	34.0545845	30.6547375	29.087698	33.4682961
"17000"	17000	34.0982933	30.7034321	28.9839668	34.1016121
"17100"	17100	34.147068	31.3423119	28.3399296	35.2381668
"17200"	17200	34.2016907	30.714529	29.0982265	34.5840874
"17300"	17300	34.2486496	30.8904266	27.8022289	35.3213348
"17400"	17400	34.3018074	31.1458454	28.8442631	35.4759407
"17500"	17500	34.3501663	30.9897652	27.9284897	35.3144226
"17600"	17600	34.3841934	31.0971889	28.7520046	35.7387161
"17700"	17700	34.4083328	30.9513245	28.4863186	35.3766136
"17800"	17800	34.4316368	30.8355446	29.5310173	34.2955971
"17900"	17900	34.4523888	31.2148857	28.8976383	36.016037
"18000"	18000	34.4722099	30.9938602	29.0536461	35.4507637
"18100"	18100	34.4906578	30.9815502	28.8141499	35.3905334
"18200"	18200	34.5114403	31.0419693	28.7338028	35.4864006
"18300"	18300	34.5300026	30.9755154	29.4706841	35.9415054
"18400"	18400	34.549099	30.955122	28.6330967	35.7200432
"18500"	18500	34.5679893	31.0320988	28.6842594	35.4244003
"18600"	18600	34.5882225	31.1028271	28.6377773	35.6485634
"18700"	18700	34.6125412	31.0279751	29.2555695	35.6030006
"18800"	18800	34.63657	31.0883713	29.0433102	35.8493767
"18900"	18900	34.6598701	31.3412838	28.1774883	36.0253525
"19000"	19000	34.6816063	31.4976654	28.7549591	35.0682259
"19100"	19100	34.7050591	31.1762218	29.3113213	36.0770493
"19200"	19200	34.7286263	31.0264397	28.4775066	35.6888847
"19300"	19300	34.7582703	31.0863266	28.7591057	35.665844
"19400"	19400	34.7914314	31.2480335	29.1126137	35.9755173
"19500"	19500	34.838047	31.2881718	29.2776165	36.0126381
"19600"	19600	34.8785858	33.0902176	27.8539715	37.0402298
"19700"	19700	34.9236221	31.3029442	28.8302822	35.9608421
"19800"	19800	34.963623	32.8243294	28.0135841	36.0816383
"19900"	19900	35.0283623	32.7694626	28.1202068	36.4571381
"20000"	20000	37.2372589	34.191143	29.0259514	41.5129738
"20100"	20100	37.7453384	34.622261	29.7083263	43.0361137
"20200"	20200	38.0609703	34.9610214	29.085125	43.0283012
"20300"	20300	38.3792114	35.0841599	29.6652184	43.0955811
"20400"	20400	38.824749	35.2819786	29.5188198	42.7565575
"20500"	20500	39.6648407	35.7531586	28.2827911	41.6423492
"20600"	20600	40.1988525	35.7108688	28.296608	41.7210579
"20700"	20700	40.49757	35.5585518	29.2889919	42.4564056
"20800"	20800	40.6689568	36.4921074	28.4746304	41.3071899
"20900"	20900	40.7917252	36.8299179	28.6728268	42.7239609
"21000"	21000	40.8907471	35.632637	29.1085606	43.5020256
"21100"	21100	40.999157	37.7210655	28.7176189	44.1409798
"21200"	21200	41.0948868	35.6522942	28.6973991	41.8445969
"21300"	21300	41.1772842	36.1102982	28.144104	42.1446648
"21400"	21400	41.2514572	36.1855431	28.478857	41.9692612
"21500"	21500	41.3438721	35.868679	28.9623947	43.0112038
"21600"	21600	41.3904305	35.9756012	28.929121	42.0718346
"21700"	21700	41.4530182	32.9691696	29.1650887	42.1907158
"21800"	21800	41.5216141	36.2315025	28.0547543	41.8864365
"21900"	21900	41.6407356	37.8547859	29.1163139	44.337326
"22000"	22000	41.7906036	35.2879372	29.4821758	42.2366447
"22100"	22100	41.8997612	35.4734497	29.6563091	42.2533112
"22200"	22200	42.0067253	37.2114677	28.4634171	43.0789833
"22300"	22300	42.0717659	36.7070084	28.6937847	42.4119225
"22400"	22400	42.1396103	37.0829849	28.6355038	42.292511
"22500"	22500	42.1888542	36.3805122	29.5160999	43.0330009
"22600"	22600	42.2271385	36.4090805	29.2556324	42.2687721
"22700"	22700	42.2710571	36.1615067	29.5196609	42.6954079
"22800"	22800	42.3473816	37.5043678	29.0590191	45.3864403
"22900"	22900	42.4006653	37.1965332	28.3099041	42.4194069
"23000"	23000	42.4497833	36.3292465	29.2914448	43.9331169
"23100"	23100	42.4945412	37.5638123	29.1167812	45.1132164
"23200"	23200	42.5922661	38.8459663	28.8431072	43.869278
"23300"	23300	42.7776451	39.7122879	29.4594097	44.9300766
"23400"	23400	42.9427719	36.4824371	28.4758205	42.8225784
"23500"	23500	42.020031	35.986618	28.4519196	41.2304993
"23600"	23600	42.0746231	35.9500427	28.5262337	41.3852921
"23700"	23700	42.1796684	36.3008041	29.2786732	42.611599
"23800"	23800	42.2428169	36.0936584	29.1344395	42.0751953
"23900"	23900	42.3147278	38.7003098	28.6730881	44.0518074
"24000"	24000	42.3795815	36.8584175	28.4987755	43.6690254
"24100"	24100	42.4278412	36.36586	28.5996075	42.2289467
"24200"	24200	42.4902687	36.4049416	28.9685249	43.4920616
"24300"	24300	42.6399879	38.2352448	29.090353	46.706028
"24400"	24400	42.8600464	39.9327011	28.9304752	44.4325027
"24500"	24500	43.0542526	38.7772675	29.5846367	44.465271
"24600"	24600	43.7128563	39.4788551	28.5361519	43.1656914
"24700"	24700	43.953907	39.515728	28.6884232	43.6185303
"24800"	24800	43.2169113	38.866291	29.0854168	44.5242119
"24900"	24900	43.3337288	39.1419449	28.7249699	41.321785
"25000"	25000	43.5405922	39.2091408	28.6921349	43.7584305
"25100"	25100	43.7311287	39.2727318	28.5743427	41.7679024
"25200"	25200	43.9462318	36.7714958	29.6344337	42.7078285
"25300"	25300	44.1922264	40.126709	29.5755386	45.6675682
"25400"	25400	44.5426674	40.0877228	29.6074333	44.9661369
"25500"	25500	45.1280708	40.5583344	29.7386322	45.0242577
"25600"	25600	44.2139549	40.009964	28.5583	44.6230431
"25700"	25700	45.2139206	40.4779549	29.7789268	45.1542854
"25800"	25800	41.8873711	37.7769585	29.3045845	44.982357
"25900"	25900	43.7404251	39.1223679	29.5377674	43.3863602
"26000"	26000	44.4742661	39.7796822	29.6168041	46.9374847
"26100"	26100	44.4701958	37.5502281	29.0152988	46.4539146
"26200"	26200	45.8817482	38.2738647	28.8119888	46.8764839
"26300"	26300	44.9157867	38.4766922	28.9663715	47.3924026
"26400"	26400	46.9079666	38.2616539	28.7138329	45.9363403
"26500"	26500	45.8377304	38.1846008	28.9050922	47.2122154
"26600"	26600	46.8756943	39.0544548	29.0972061	47.1746788
"26700"	26700	45.8038712	39.9694786	30.510828	47.5836143
"26800"	26800	47.0220985	40.3533287	30.1231651	47.6525955
"26900"	26900	47.524498	41.1822395	30.0414791	47.9096031
"27000"	27000	47.4561996	40.5876846	30.1085339	47.8197937
"27100"	27100	47.3600769	40.9465866	30.9183159	47.6991577
"27200"	27200	47.4019775	40.8056335	29.9423332	47.8758049
"27300"	27300	47.4267464	40.9950371	30.6950836	47.9721527
"27400"	27400	47.4266014	41.0111313	30.3311043	47.8719292
"27500"	27500	47.4145241	40.9398651	30.3446808	47.7928886
"27600"	27600	47.4026451	40.7131996	30.2491112	47.6753387
"27700"	27700	47.3495789	40.5938911	30.2914963	47.5765762
"27800"	27800	47.3067055	40.1962166	30.3697834	47.506218
"27900"	27900	47.2543602	40.1281166	31.0378323	47.4034767
"28000"	28000	47.2321777	39.9060898	30.4381485	47.3799973
"28100"	28100	47.1843262	39.6397476	30.3538074	47.3352776
"28200"	28200	47.1430397	39.4612312	30.5371456	47.2356148
"28300"	28300	47.0767365	39.289875	30.4304218	47.1593132
"28400"	28400	47.0047493	39.0953903	30.3265171	47.0185623
