temps,interieur_recipient,interieur_serre,ambiance,contre_recipient
44,26.5834808,27.9467888,26.4122105,27.7378159
45,26.5706577,27.9567719,26.4358158,27.7475491
46,26.5730381,27.9638176,26.4551086,27.726099
47,26.5690613,27.9494457,26.4666462,27.7358303
48,26.5531578,27.9381218,26.4925461,27.7352428
49,26.5531025,27.9513187,26.5033817,27.7232742
50,26.5552311,27.9376736,26.5152817,27.7097645
51,26.5398865,27.9352684,26.5372334,27.724617
52,26.5558739,27.9191341,26.5414314,27.7127304
53,26.547699,27.8942757,26.562376,27.7160015
54,26.5372009,27.8870068,26.586874,27.7351837
55,26.5564575,27.9008236,26.6170959,27.7214508
56,26.5432968,27.8923779,26.6242065,27.7149639
57,26.5404701,27.8918476,26.6186638,27.7145996
58,26.5351772,27.9010754,26.6280422,27.7183762
59,26.5409451,27.8995094,26.6430759,27.7041397
60,26.5409451,27.9158115,26.6596775,27.7038326
61,26.5249577,27.9222984,26.7014465,27.7017059
62,26.5261631,27.9198666,26.7025948,27.6951332
63,26.5281506,27.9284515,26.6927967,27.6951618
64,26.5205059,27.9328403,26.6837826,27.6856518
65,26.5114632,27.9449482,26.6960716,27.6801987
66,26.5167828,27.9510441,26.7268658,27.6797237
67,26.5044632,27.945591,26.748085,27.6812611
68,26.4970436,27.9523029,26.7524509,27.6738224
69,26.4994793,27.9525814,26.7949429,27.6685925
70,26.4954185,27.9446125,26.7818432,27.6711922
71,26.4846382,27.9462624,26.7670345,27.6678085
72,26.48209,27.9564114,26.7562294,27.6850147
73,26.4959087,27.962286,26.7399845,27.6830006
74,26.5010605,27.9670391,26.7156296,27.6821899
75,26.4918213,27.9736938,26.6361237,27.6596737
76,26.4794445,27.9774685,26.6055508,27.6690445
77,26.4857445,27.9637127,26.5832653,27.6703587
78,26.4835892,27.9668159,26.5712547,27.6627235
79,26.4888535,27.9742813,26.5738297,27.654808
80,26.4811821,27.9787827,26.6327915,27.6584167
81,26.4784088,27.9657249,26.5851135,27.6507244
82,26.4811249,27.9721279,26.5733814,27.6425571
83,26.4682732,27.9747849,26.57131,27.6459427
84,26.4768963,27.9660053,26.5329533,27.6533546
85,26.478157,27.9646072,26.4455376,27.6361237
86,26.4835052,27.9665642,26.4704018,27.6381931
87,26.4764767,27.9599934,26.5692387,27.6387253
88,26.4758339,27.9616718,26.6220684,27.6295509
89,26.4732571,27.9481106,26.4798107,27.6377754
90,26.4639339,27.9351921,26.444334,27.6537189
91,26.5029316,27.9737568,26.4528351,27.6478176
