Temps,Teau,Tis,Tamb,Tcr
109,26.5860367,27.9742813,25.8088512,27.6226768
110,26.5862598,27.9747849,25.8094597,27.6227722
111,26.5879402,27.9755402,25.8100815,27.6228542
112,26.5891171,27.9760075,25.8103275,27.6230698
113,26.5891171,27.9774303,25.8123207,27.6232109
114,26.5897884,27.9774685,25.8143673,27.6234684
115,26.5902367,27.9787827,25.8150082,27.6237106
116,26.5911045,27.9798508,25.8170033,27.6237125
117,26.5919628,27.9800091,25.81814,27.6238594
118,26.5957108,27.9812431,25.8231869,27.6239338
119,26.5958347,27.9844322,25.8232231,27.6240311
120,26.5959206,27.986515,25.8249531,27.6243839
121,26.5972557,27.9866924,25.8271961,27.6245136
122,26.6032543,27.9869537,25.8277073,27.6245708
123,26.6038437,27.9876156,25.8296337,27.6246586
124,26.6061821,27.9883442,25.8305855,27.6246643
125,26.6068268,27.9889565,25.8306694,27.6250916
126,26.610218,27.9912949,25.8308659,27.6252308
127,26.6107178,27.9920139,25.8320427,27.6254749
128,26.6121445,27.9951191,25.8349915,27.6254826
129,26.6123695,27.9976807,25.8350143,27.6256981
130,26.613657,27.9983902,25.8350182,27.6257839
131,26.6144123,27.9986038,25.8354321,27.6258011
132,26.6146088,27.9995632,25.8354874,27.6259232
133,26.6148605,28.0003185,25.8395462,27.625946
134,26.615757,28.0004768,25.8413239,27.6260414
135,26.6159134,28.000515,25.84202,27.6266575
136,26.616848,28.0011024,25.8431358,27.6267891
137,26.6174679,28.002182,25.8448219,27.626976
138,26.6179123,28.0039158,25.8452148,27.6272373
139,26.6179676,28.0039253,25.8459949,27.6273212
140,26.6195641,28.0049133,25.8472557,27.6273594
141,26.619648,28.0056534,25.8483753,27.6275272
142,26.6201801,28.006443,25.8497734,27.6278324
143,26.6213455,28.0070934,25.8504524,27.6278725
144,26.6220837,28.0074482,25.8505898,27.6279831
145,26.6221199,28.0110283,25.8516331,27.6281891
146,26.6228294,28.0115871,25.8542099,27.6282063
147,26.6232224,28.0165462,25.854969,27.6282234
148,26.6248455,28.017952,25.8575954,27.6283188
149,26.6249847,28.0191078,25.8592186,27.6285915
150,26.6262074,28.0191841,25.8605995,27.6287193
151,26.626749,28.0210609,25.865242,27.6289158
152,26.6273651,28.0213909,25.8663712,27.6289673
153,26.6274204,28.0224838,25.8664188,27.6289787
154,26.6296616,28.0273781,25.8677044,27.6290188
155,26.6310043,28.0278397,25.8692722,27.6290836
156,26.6310883,28.0306759,25.8738461,27.6292038
157,26.6310883,28.0316505,25.8775978,27.6294556
158,26.6322269,28.031929,25.8788338,27.6295204
159,26.6324196,28.0320187,25.8796425,27.6295509
160,26.6324329,28.0332775,25.8802948,27.6295662
161,26.6324596,28.0334167,25.8819752,27.6295872
162,26.6334305,28.0335808,25.8833694,27.6297722
163,26.6341305,28.0337448,25.8861713,27.6301003
164,26.6347275,28.0347271,25.887888,27.6301365
165,26.6352787,28.0357895,25.8916683,27.6305733
166,26.6358757,28.0375481,25.8917446,27.6306515
167,26.6365662,28.0376053,25.8918037,27.6307335
168,26.6369305,28.0388069,25.8926983,27.6307411
169,26.6393108,28.0390587,25.8946056,27.6308193
170,26.6396179,28.0394497,25.89744,27.630846
171,26.6411076,28.0399818,25.9005108,27.6310081
172,26.6412697,28.0420513,25.902338,27.6311817
173,26.6413631,28.0423546,25.9029007,27.6311855
174,26.6418629,28.0424194,25.9031353,27.6311989
175,26.6421375,28.0426216,25.9038506,27.6313992
176,26.6422215,28.0428944,25.9039116,27.6315842
177,26.6424274,28.0432739,25.9043198,27.6317081
178,26.6425018,28.0436153,25.9045773,27.6317787
179,26.643322,28.0437679,25.9046669,27.631815
180,26.6445274,28.0440693,25.9051723,27.6320114
181,26.6448059,28.0441189,25.9064674,27.6320553
182,26.6448917,28.0441246,25.9070206,27.6322441
183,26.6454124,28.0446072,25.9076099,27.6326122
184,26.6454182,28.0446281,25.9100113,27.6327305
185,26.646595,28.0449162,25.9100437,27.6330032
186,26.6467018,28.0449581,25.9102917,27.6331196
187,26.6467571,28.0451012,25.9105225,27.6331959
188,26.6475086,28.045187,25.9123154,27.6332893
189,26.6477146,28.0455723,25.9127007,27.6333618
190,26.6478024,28.0456448,25.9127693,27.633522
191,26.6485023,28.0459785,25.9128971,27.6338482
192,26.6493435,28.0464115,25.9130325,27.634304
193,26.6493702,28.0466633,25.914217,27.634409
194,26.6494827,28.0468311,25.9143257,27.6344318
195,26.6500988,28.0470333,25.9145279,27.6344833
196,26.6501789,28.0473747,25.9157276,27.6345329
197,26.6503735,28.0476418,25.9169102,27.6346054
198,26.6509895,28.0476761,25.9177399,27.6347408
199,26.6515999,28.0486336,25.9179707,27.6348553
200,26.6517181,28.0506649,25.9210358,27.6348648
201,26.6518345,28.0510101,25.9212456,27.6351357
202,26.6520863,28.0513039,25.9220638,27.6352634
203,26.6526985,28.0520649,25.9223404,27.6355667
204,26.6528931,28.052206,25.9228287,27.635704
205,26.6531754,28.0530872,25.9229794,27.6357689
206,26.653286,28.0533581,25.9231472,27.6358433
207,26.6539288,28.0537777,25.9233227,27.6358509
208,26.6539326,28.0543365,25.9243984,27.6361084
209,26.6541023,28.0544491,25.926178,27.6361237
210,26.6547413,28.0566597,25.9262466,27.636198
211,26.6549683,28.058466,25.9282494,27.6362209
212,26.6553001,28.0593967,25.9296284,27.6362667
213,26.6555023,28.0597057,25.9323177,27.6364441
214,26.6558666,28.059782,25.9335957,27.6365509
215,26.656002,28.0600414,25.9342251,27.6367016
216,26.6578484,28.0604877,25.9350128,27.6368217
217,26.6609287,28.060812,25.9351082,27.6368504
218,26.6617737,28.0611057,25.9358368,27.6368599
219,26.6617985,28.0613384,25.9365692,27.6368656
220,26.6623554,28.0628433,25.9367657,27.6369095
221,26.6623859,28.0632782,25.9373589,27.6369991
222,26.6633015,28.0633392,25.9373779,27.6370106
223,26.663559,28.0644588,25.9377232,27.6370182
224,26.6636448,28.064558,25.9392872,27.6371002
225,26.6640358,28.06497,25.9403591,27.6371021
226,26.6643467,28.0655632,25.9406319,27.6372051
227,26.664484,28.0665283,25.9407234,27.6372795
228,26.6647949,28.0669346,25.9410858,27.6376534
229,26.6663036,28.0673656,25.9415531,27.6377583
230,26.6665001,28.067522,25.9417839,27.6377754
231,26.6667824,28.0675621,25.9423542,27.6378498
232,26.6676769,28.0680237,25.9425926,27.6380901
233,26.6680126,28.0680809,25.9428864,27.6381931
234,26.6680603,28.0690899,25.9436855,27.6382313
235,26.6682377,28.069973,25.9449196,27.6382484
236,26.6684093,28.0703735,25.945509,27.6383324
237,26.6684608,28.0713654,25.9455681,27.6386013
238,26.6698055,28.0722179,25.9457951,27.6386318
239,26.6700211,28.0723305,25.9458847,27.6387253
240,26.6700554,28.0772381,25.946825,27.6387444
241,26.6701164,28.0774746,25.9481354,27.6387653
242,26.6702232,28.0779648,25.9482384,27.6388855
243,26.6703625,28.0781593,25.949192,27.6388912
244,26.6706085,28.0791664,25.9493008,27.6390324
245,26.6708317,28.0802135,25.9495716,27.6390743
246,26.6709538,28.0818787,25.9497223,27.6392479
247,26.671484,28.0822544,25.9497623,27.6392689
248,26.6718121,28.0825634,25.9518261,27.639349
249,26.672184,28.0831089,25.9522438,27.6393948
250,26.6729317,28.0839291,25.9533253,27.6396198
251,26.6732769,28.0847015,25.9541702,27.6396751
252,26.6733112,28.0852051,25.9547024,27.6398354
253,26.673893,28.0878334,25.9553261,27.6400948
254,26.6748085,28.0912724,25.9554939,27.6403179
255,26.6748428,28.0921955,25.9558239,27.6404991
256,26.6757126,28.1041985,25.9560165,27.6406689
257,26.6761589,28.1074085,25.9568768,27.640831
258,26.6761875,28.1083107,25.9569397,27.6409149
259,26.6774178,28.1135006,25.9584446,27.640934
260,26.6775227,28.1138554,25.9588547,27.6411762
261,26.6779518,28.1154556,25.9596596,27.6414242
262,26.6786156,28.1170788,25.9600773,27.6415958
263,26.6792393,28.117363,25.9623203,27.641613
264,26.6794128,28.1177502,25.9636097,27.6419544
265,26.6797161,28.1189842,25.9637947,27.6421089
266,26.680603,28.1193199,25.9638233,27.6421356
267,26.6810379,28.1208801,25.9649563,27.6421356
268,26.6821575,28.1225586,25.9651966,27.6421642
269,26.6821575,28.1230946,25.9653473,27.642168
270,26.6825714,28.1235371,25.9655647,27.6421967
271,26.6827297,28.1242409,25.9656792,27.6422577
272,26.6832066,28.1249962,25.967123,27.6423416
273,26.683794,28.1259975,25.9687252,27.6424026
274,26.6840172,28.1272316,25.9699421,27.6424999
275,26.6842575,28.1276188,25.9709053,27.6425571
276,26.6844654,28.1276264,25.9720955,27.6431904
277,26.6850624,28.127758,25.9723454,27.6432266
278,26.6851807,28.1278133,25.9737511,27.6432838
279,26.6852016,28.1282387,25.9740925,27.6432877
280,26.6861305,28.1291389,25.9741993,27.6432934
281,26.6874695,28.1298046,25.974741,27.6433659
282,26.6876373,28.1299953,25.977047,27.6433716
283,26.6879807,28.1306992,25.9775028,27.6435337
284,26.6881466,28.1311455,25.9778423,27.6436386
285,26.6882877,28.1321468,25.9786148,27.6437473
286,26.6884499,28.1329575,25.9787273,27.643898
287,26.6885967,28.1336002,25.9799328,27.6439648
288,26.6888733,28.1342716,25.9820042,27.6440678
289,26.6897011,28.1342831,25.9830227,27.6442051
290,26.689743,28.1346626,25.9833584,27.6442108
291,26.6903038,28.1347198,25.9844131,27.6442432
292,26.6903324,28.1368217,25.9844875,27.6444016
293,26.6907921,28.1368427,25.9845257,27.6444321
294,26.691843,28.1377029,25.984623,27.644474
295,26.692627,28.1377506,25.9850597,27.6445732
296,26.6934662,28.1384983,25.9863644,27.644989
297,26.6949787,28.1388969,25.986618,27.6450081
298,26.6955891,28.1391926,25.987648,27.6452789
299,26.6955948,28.139225,25.9895325,27.6454086
300,26.695673,28.1402321,25.9901295,27.6454182
301,26.696064,28.1407909,25.991003,27.6455345
302,26.6960926,28.1412659,25.9910545,27.645731
303,26.6962662,28.1419659,25.9911308,27.6457539
304,26.6966801,28.1420784,25.9911366,27.6457806
305,26.6968822,28.1422443,25.9919682,27.6458282
306,26.6974697,28.1423283,25.9920502,27.6458549
307,26.6994305,28.1433907,25.9920616,27.6459427
308,26.7008858,28.1437759,25.9928265,27.6459675
309,26.7008858,28.1453419,25.9938374,27.6464424
310,26.7016068,28.1455994,25.9952068,27.6465378
311,26.7016983,28.1469631,25.9961357,27.6466446
312,26.7029018,28.147892,25.9967899,27.6466675
313,26.7032166,28.148283,25.9974957,27.6468353
314,26.7036572,28.1483326,25.9978733,27.6469345
315,26.7053585,28.1484718,25.9978905,27.6469479
316,26.7060375,28.149786,25.9989262,27.6472549
317,26.7060871,28.1500168,25.9996128,27.6473312
318,26.7061558,28.151865,25.9996967,27.6474228
319,26.7061768,28.1521969,25.9997444,27.6475067
320,26.7063236,28.1530914,26.0001583,27.6475773
321,26.7074089,28.1532536,26.0002003,27.6475773
322,26.7082424,28.1536446,26.0017624,27.6476498
323,26.7086201,28.1543503,26.0019035,27.6477165
324,26.7088013,28.1546574,26.0026321,27.6477776
325,26.7089481,28.1554604,26.0033226,27.6478176
326,26.7098789,28.1562519,26.0047302,27.6478291
327,26.7102985,28.1563625,26.0055676,27.6480026
328,26.7108879,28.1578159,26.006712,27.6481495
329,26.711895,28.158123,26.0070972,27.6482639
330,26.7125931,28.1585426,26.0073071,27.6482773
331,26.7135181,28.159605,26.007328,27.6483326
332,26.7147789,28.159626,26.007925,27.6484776
333,26.7151852,28.1600189,26.0081997,27.6485138
334,26.7158146,28.161562,26.0084782,27.6486816
335,26.7159824,28.1620102,26.009346,27.6493454
336,26.7169056,28.1620941,26.0093822,27.6495476
337,26.7172413,28.1642742,26.0095482,27.6495514
338,26.7196217,28.1648903,26.0096054,27.6497726
339,26.7199993,28.1652813,26.0105572,27.6497726
340,26.7203217,28.1656437,26.0107517,27.6502285
341,26.7212029,28.1665668,26.0111389,27.6502686
342,26.7222939,28.1674938,26.0112572,27.6502762
343,26.7228813,28.167593,26.0115643,27.6505356
344,26.7233925,28.1688042,26.0119534,27.6506405
345,26.723526,28.1711807,26.0122871,27.6507244
346,26.723568,28.1721859,26.0124836,27.6507664
347,26.7244225,28.1724377,26.0131664,27.6508617
348,26.7282009,28.1740246,26.0134983,27.6511803
349,26.728426,28.1741714,26.0138359,27.6512642
350,26.7307491,28.1747246,26.0139675,27.6513119
351,26.7313366,28.1753731,26.0140553,27.651823
352,26.732708,28.1774349,26.0141125,27.6519127
353,26.7332954,28.178896,26.01441,27.6522045
354,26.733408,28.1793079,26.0148563,27.6525135
355,26.7338009,28.1797256,26.0149708,27.6526661
356,26.7354317,28.1804543,26.0154343,27.6528301
357,26.735508,28.1805668,26.0154743,27.6528759
358,26.7355919,28.1809845,26.0157738,27.6532955
359,26.7363205,28.1826057,26.0159397,27.6533546
360,26.7383919,28.1828022,26.0164547,27.6534634
361,26.7390442,28.1833057,26.01647,27.6537189
362,26.7395115,28.1833706,26.0173092,27.6537724
363,26.7407513,28.183836,26.0174599,27.6539669
364,26.7414246,28.1847591,26.0177956,27.6541729
365,26.7415142,28.184864,26.0179558,27.6545181
366,26.7416191,28.1848965,26.0179577,27.654808
367,26.7431316,28.1853275,26.0198231,27.655302
368,26.743187,28.1858063,26.0199165,27.6557732
369,26.7442226,28.1861267,26.0199661,27.6566124
370,26.7454548,28.1861286,26.0200462,27.6566811
371,26.7456074,28.1870499,26.0201015,27.6568203
372,26.7461109,28.1870632,26.0202179,27.6569901
373,26.7464333,28.188036,26.0205021,27.6573048
374,26.7468262,28.1882534,26.0210037,27.6573162
375,26.7470512,28.188364,26.0210094,27.6581631
376,26.7473297,28.1895657,26.0211754,27.6583786
377,26.7478695,28.1900425,26.0214272,27.6583862
378,26.7480373,28.1906013,26.0216217,27.6584167
379,26.7486744,28.1909351,26.0223503,27.6585121
380,26.7494278,28.191328,26.0229073,27.6588726
381,26.7498913,28.191803,26.0230904,27.6589394
382,26.7501583,28.1920834,26.0231361,27.6589737
383,26.7502193,28.1923065,26.0239944,27.6592541
384,26.7508011,28.1933422,26.0244617,27.6594219
385,26.7510662,28.1936569,26.0245628,27.6596737
386,26.7513409,28.1937466,26.0250378,27.6598339
387,26.7513752,28.195158,26.0273495,27.6599731
388,26.7515011,28.1952,26.0275326,27.6600513
389,26.7522087,28.1952839,26.0285053,27.6600857
390,26.7528801,28.1960239,26.0286789,27.6603451
391,26.7532654,28.1962757,26.0290966,27.6604061
392,26.7533207,28.1965275,26.030159,27.6607647
