Temps,Teau,Tis,Tamb,Tcr
1,22.0531101,23.4132004,23.5836372,22.3394699
2,22.0533638,23.4161205,23.5896168,22.3401451
3,22.0636826,23.4161205,23.5904026,22.3436031
4,22.0705414,23.4229717,23.5920296,22.34408
5,22.0738869,23.4243774,23.5945015,22.3590603
6,22.0825462,23.427618,23.6044121,22.3595963
7,22.0870438,23.4328136,23.6084557,22.3639259
8,22.088562,23.4422073,23.608675,22.3648205
9,22.096405,23.4431477,23.608902,22.368227
10,22.1049976,23.4438915,23.6145172,22.370779
11,22.1061573,23.4463482,23.6197968,22.3731136
12,22.1089687,23.4486256,23.621397,22.3801155
13,22.1280899,23.4505062,23.6214085,22.3810139
14,22.1284733,23.4531574,23.6228886,22.3811245
15,22.1352768,23.4536495,23.6230583,22.3811989
16,22.1426144,23.4544926,23.6236763,22.3837109
17,22.1433163,23.4556847,23.6249104,22.3870831
18,22.1436539,23.4558697,23.6266232,22.3909607
19,22.1446648,23.4560928,23.6281643,22.3940163
20,22.14534,23.4565716,23.6285744,22.3942528
21,22.1462517,23.4572296,23.6288128,22.3945045
22,22.1464386,23.460474,23.6288414,22.3956013
23,22.1541939,23.460701,23.629467,22.3985405
24,22.1547565,23.4608974,23.6295681,22.4002628
25,22.15588,23.463028,23.6300449,22.4032993
26,22.1562767,23.4638443,23.6302109,22.4042587
27,22.1575718,23.4640121,23.6302586,22.4073181
28,22.1585808,23.4678307,23.6315327,22.4112167
29,22.1585808,23.4680576,23.6328526,22.4145412
30,22.1588631,23.4684124,23.6339874,22.4160309
31,22.1602688,23.4686432,23.6365299,22.4167614
32,22.1620388,23.4687977,23.6384792,22.417202
33,22.162632,23.4698925,23.6385517,22.4232559
34,22.1626606,23.4703999,23.6386757,22.4250164
35,22.1635609,23.4708481,23.6398754,22.4258118
36,22.1644325,23.4712582,23.639967,22.4285946
37,22.1653881,23.472393,23.6399727,22.4311714
38,22.1685295,23.4733467,23.6401253,22.4320812
39,22.1685848,23.4735031,23.6414146,22.4340458
40,22.1705246,23.4735737,23.6414146,22.435894
41,22.1721001,23.4742908,23.6422825,22.4373913
42,22.1732254,23.4744225,23.6424732,22.4376354
43,22.1743069,23.475565,23.6426468,22.4412136
44,22.17626,23.4761963,23.6440449,22.4423656
45,22.1774406,23.4769421,23.6442032,22.4429188
46,22.178791,23.4779663,23.6442585,22.4433784
47,22.179493,23.4780922,23.6451855,22.4437447
48,22.1817417,23.4784145,23.645195,22.4437904
49,22.1818542,23.4784431,23.6457386,22.4438839
50,22.1842728,23.4791451,23.6461678,22.4442768
51,22.1855927,23.4794312,23.6472244,22.4550972
52,22.1888046,23.4795685,23.6476765,22.4594822
53,22.1901264,23.4796944,23.647789,22.4620419
54,22.190712,23.480648,23.6480083,22.4632378
55,22.1909981,23.4815063,23.6481438,22.4645424
56,22.1940556,23.4821434,23.6483498,22.465723
57,22.197773,23.4849224,23.648407,22.4686451
58,22.1989765,23.4865875,23.6494331,22.4708805
59,22.2013111,23.4874134,23.6495457,22.4840927
60,22.2014542,23.4879055,23.6498623,22.4858303
61,22.2020397,23.4888439,23.6503239,22.4859753
62,22.2026291,23.4899254,23.6530476,22.4873772
63,22.2087078,23.4905777,23.6532078,22.4877167
64,22.2125587,23.4913006,23.6538887,22.4905796
65,22.2140141,23.4917793,23.6541882,22.5009232
66,22.214016,23.4926167,23.6547318,22.5068817
67,22.2163048,23.4928055,23.6557674,22.5079498
