Temps,Teau,Tis,Tamb,Tcr
1000,27.0237942,28.4022541,26.4823494,27.9868412
2000,27.7208061,28.6856709,26.7246971,28.5982723
3000,28.2959328,28.9921227,26.9221783,29.16078
4000,28.9600334,30.2806358,28.7536602,30.6991673
5000,30.1016483,32.6632957,28.8103237,32.2482643
6000,31.761076,33.5486259,28.838728,33.9685173
7000,32.6790352,34.3862762,28.8405609,34.5820122
8000,34.0020905,34.882019,28.8958645,35.4197617
9000,35.1983871,36.3226357,29.0339394,37.2489777
10000,36.6556969,36.8891754,29.0386124,38.8623428
11000,37.9022217,37.1239777,29.1334362,40.04953
12000,39.1340141,37.7084427,29.2107143,41.5226097
13000,40.3371468,38.3165283,29.214592,42.7527161
14000,41.2234917,38.6131248,29.3147068,42.9559937
15000,42.1526756,38.6743774,29.3443012,43.6016464
16000,42.8029213,38.6824265,29.420084,44.0674438
17000,43.5008545,39.0554466,29.4521275,44.7998581
18000,44.2487755,39.5963058,29.5453892,45.1679153
19000,44.8096542,40.0458031,30.0099812,45.8060303
20000,45.4370537,40.3397942,30.0195351,46.7823181
21000,46.024826,40.5304756,30.2030754,47.3572083
22000,46.5057144,40.5353889,30.2146549,47.736927
23000,46.9958267,40.753891,30.326498,47.8216743
24000,47.3265266,40.8307686,30.4751396,48.0536728
25000,47.5019798,40.8539696,30.6801281,48.084362
26000,47.5385704,41.1518974,30.6808929,48.09272
27000,47.5908012,41.1794014,31.011879,48.1409874
28000,47.7054749,41.3020172,31.9491863,48.2612267
