Temps,Teau,Tis,Tamb,Tcr
1,25.6841812,25.3062954,24.2645607,26.2983932
2,25.6865501,25.3071918,24.278141,26.3123398
3,25.6887341,25.3075657,24.2875118,26.3148022
4,25.6894493,25.3100529,24.2909622,26.3160362
5,25.6895332,25.3106689,24.3010902,26.3171005
6,25.6905289,25.3113976,24.3099003,26.3204041
7,25.6906395,25.3114052,24.3116112,26.3214397
8,25.6908779,25.311985,24.3223,26.321804
9,25.6919289,25.3120136,24.3249664,26.3241005
10,25.6924896,25.3121891,24.3284721,26.3241386
11,25.6928616,25.3122749,24.3299885,26.3251648
12,25.6929359,25.3122749,24.3315029,26.3251934
13,25.6934204,25.3133678,24.3327656,26.3253975
14,25.6934986,25.3134441,24.3347855,26.3254814
15,25.6937733,25.3140125,24.3353462,26.325613
16,25.6945705,25.3141518,24.3356552,26.3256779
17,25.6960068,25.3151588,24.3387127,26.3256779
18,25.696413,25.3156948,24.3396397,26.3262653
19,25.6976242,25.3157139,24.3410416,26.326292
20,25.6979542,25.3160229,24.3430328,26.3263206
21,25.6984253,25.3160229,24.3463726,26.3264332
22,25.6985092,25.3173962,24.3467083,26.3265476
23,25.6986332,25.3177032,24.3472424,26.3267136
24,25.698801,25.31847,24.3504124,26.3268166
25,25.698885,25.3185177,24.3545361,26.3271294
26,25.6989613,25.3185463,24.3547325,26.3271351
27,25.6991653,25.3190842,24.3600063,26.3274441
28,25.6997185,25.3194408,24.3640461,26.3274899
29,25.6998653,25.3205147,24.3641033,26.3275452
30,25.6999416,25.3210392,24.3662624,26.3277779
31,25.7000828,25.3213196,24.370779,26.3279171
32,25.7001457,25.3214035,24.3712292,26.3280888
33,25.7001953,25.3217125,24.3754921,26.3283615
34,25.7005844,25.3219357,24.3779049,26.3288898
35,25.7007904,25.3220844,24.3850307,26.3290005
36,25.7008934,25.3227329,24.3971634,26.3291702
37,25.7009754,25.3233109,24.4021568,26.3291798
38,25.7012272,25.3234501,24.4033909,26.3292904
39,25.7012577,25.3234863,24.4045696,26.3293209
40,25.7018471,25.3235912,24.409214,26.3295364
41,25.7020302,25.3236465,24.4096756,26.329628
42,25.7021713,25.3240395,24.4130402,26.3298397
43,25.7022686,25.3244038,24.41436,26.3300686
44,25.7024231,25.3250847,24.4154491,26.3305168
