"Temps"	"Teau"	"Tis"	"Tamb"	"Tcr"
"1000"	1000	25.8160477	25.6550484	24.6683311	26.664587
"2000"	2000	26.2639256	26.1467438	24.7806072	26.9986458
"3000"	3000	26.789156	26.5171242	25.5871964	27.5054188
"4000"	4000	27.2402096	26.6561241	25.3501568	27.8775501
"5000"	5000	27.6943493	27.045105	25.6024151	28.3558674
"6000"	6000	28.1434555	27.2877884	26.0578365	28.7583084
"7000"	7000	28.6196594	27.5915546	26.2259521	29.1989574
"8000"	8000	29.3554344	29.0529327	26.6101933	30.932436
"9000"	9000	30.524992	29.6318588	26.7831726	31.7563839
"10000"	10000	31.3051071	31.042696	26.9452972	32.8846893
"11000"	11000	32.4672127	31.6437435	27.2446003	34.0438004
"12000"	12000	33.5542641	31.7974606	26.233139	34.5956955
"13000"	13000	34.4141769	33.3683548	26.8946056	35.9463234
"14000"	14000	35.6995087	33.5659485	26.5103855	37.0509033
"15000"	15000	36.6802025	34.222374	27.0303974	38.2291603
"16000"	16000	37.5249329	34.5961952	27.7887878	39.244606
"17000"	17000	38.4982262	36.886219	29.1010838	39.6422615
"18000"	18000	39.596489	37.5382996	27.8988419	40.9271545
"19000"	19000	40.5965157	38.0936241	28.0452099	41.2798615
"20000"	20000	41.6305504	40.2173843	29.2761669	42.8280258
"21000"	21000	42.263813	40.056778	29.4183636	43.3955994
"22000"	22000	43.0079727	40.619091	29.0898571	44.4478912
"23000"	23000	43.8481407	40.6878586	29.3507824	45.1366501
"24000"	24000	44.6554298	40.6218605	29.9618206	45.9388542
"25000"	25000	45.2280998	39.7479019	30.2518368	46.263813
"26000"	26000	46.6212578	41.3603249	29.837368	47.0502243
"27000"	27000	46.8007851	40.9838333	29.7609806	47.2048988
"28000"	28000	46.9032402	41.9162712	30.7556	47.3904991
