"Temps"	"Teau"	"Tis"	"Tamb"	"Tcr"
"100"	100	26.4915066	27.9995632	26.6769314	27.6317081
"200"	200	26.6467018	28.1225586	27.0875454	27.6132832
"300"	300	26.6903324	28.1969738	26.564703	27.6178856
"400"	400	26.778017	28.1933422	26.6019306	27.6369991
"500"	500	26.7641354	28.3158073	26.3603153	27.673748
"600"	600	26.7762032	28.4453201	26.7519035	27.7103481
"700"	700	26.8091125	28.0056534	25.5485458	27.7566338
"800"	800	26.8872356	28.4180775	26.3834724	27.8544979
"900"	900	26.961668	28.4503555	26.9615574	27.9327106
"1000"	1000	27.0237942	28.4022541	26.7246971	27.9868412
"1100"	1100	27.0977707	28.5491619	26.3062916	28.0151043
"1200"	1200	27.1391525	28.6777115	26.5559444	28.0804195
"1300"	1300	27.2389774	28.6931267	26.1650906	28.1435146
"1400"	1400	27.2824135	28.6619854	26.7687435	28.2192078
"1500"	1500	27.396513	28.7197056	27.0901794	28.2890091
"1600"	1600	27.4211521	28.3722458	25.7923946	28.3234959
"1700"	1700	27.5234852	28.4993019	26.0675468	28.3913784
"1800"	1800	27.5733662	28.5692062	25.9373589	28.4703426
"1900"	1900	27.6213646	28.7121582	26.3120823	28.522398
"2000"	2000	27.7208061	28.6856709	26.4823494	28.5982723
"2100"	2100	27.784935	28.8734894	26.7954502	28.6645527
"2200"	2200	27.8635006	28.8101139	26.1802502	28.7435703
"2300"	2300	27.9035912	28.7475109	26.1371689	28.7574444
"2400"	2400	27.985075	28.7916222	25.9920616	28.8358536
"2500"	2500	28.0183849	28.8272152	26.9039631	28.8770065
"2600"	2600	28.0775299	28.8551846	26.3925304	28.947197
"2700"	2700	28.1283627	28.8363895	26.728157	29.0000648
"2800"	2800	28.1922321	28.9670582	27.2801895	29.045248
"2900"	2900	28.2555923	28.8902435	26.1806164	29.1069736
"3000"	3000	28.2959328	28.9921227	26.9221783	29.16078
"3100"	3100	28.3806038	28.9134712	26.5081158	29.2436295
"3200"	3200	28.4182377	28.3528023	25.7550335	29.1950264
"3300"	3300	28.5024014	28.501215	27.9596996	29.3033924
"3400"	3400	28.5499153	28.8113155	29.5366192	29.381237
"3500"	3500	28.6405964	28.9129601	29.3427925	29.4088955
"3600"	3600	28.7464695	28.6712475	29.865036	29.0528526
"3700"	3700	28.7698936	29.1288567	29.3361034	30.0175018
"3800"	3800	28.8564911	29.3495693	29.0086708	30.2129726
"3900"	3900	28.9577122	29.6625175	29.3111439	30.5545216
"4000"	4000	28.9600334	30.2806358	28.8958645	30.6991673
"4100"	4100	29.0650654	30.7853127	30.5193577	30.9305534
"4200"	4200	29.1548405	31.1413708	29.8780537	31.0494442
"4300"	4300	29.2590752	31.3857307	30.6117935	31.1420021
"4400"	4400	29.3592205	31.4689999	29.5330982	31.2012901
"4500"	4500	29.470911	31.7650661	31.2472019	31.4143372
"4600"	4600	29.6158962	32.0129166	29.565836	31.553606
"4700"	4700	29.7093239	32.1690483	30.0134373	31.7128048
"4800"	4800	29.8863525	32.0539589	29.521101	31.9123096
"4900"	4900	29.9512653	32.5431709	31.2454987	32.1444664
"5000"	5000	30.1016483	32.6632957	30.2146549	32.2482643
"5100"	5100	30.2619629	32.9884491	31.5479298	32.4267845
"5200"	5200	30.399025	33.1599617	30.6578846	32.5548897
"5300"	5300	30.5833836	33.2883301	30.2195206	32.727253
"5400"	5400	30.6920128	33.3604088	31.2000332	32.9837265
"5500"	5500	30.8360386	33.5072937	31.3799953	33.1544189
"5600"	5600	31.0287781	33.534111	31.6419792	33.4394608
"5700"	5700	31.1733322	33.4403801	30.5265446	33.5500412
"5800"	5800	31.3946438	33.2166595	30.3802567	33.6367493
"5900"	5900	31.5775185	33.5555954	31.8584061	33.8377686
"6000"	6000	31.761076	33.5486259	31.011879	33.9685173
"6100"	6100	31.8362446	33.6673203	31.0446548	34.1851463
"6200"	6200	31.8994408	33.7323608	30.6392727	34.3750916
"6300"	6300	32.0581818	33.989666	30.8645134	34.4352188
"6400"	6400	32.1037445	33.2108231	31.2923775	33.0132904
"6500"	6500	32.1677513	33.743084	31.4444103	33.8748817
